TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Thinness_cumregret_mean,TS-Thinness_cumregret_se,TS-ThinnessDirected_cumregret_mean,TS-ThinnessDirected_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se,TS-Thinness_thinnesses_mean,TS-Thinness_thinnesses_se,TS-ThinnessDirected_thinnesses_mean,TS-ThinnessDirected_thinnesses_se
232.15480338082816,51.95583742559955,218.90339411006613,20.12246496189139,212.62545306829594,50.336002405089225,227.4105283924323,51.3999358081291,227.65267919006993,50.894637446078775,1.067456588368276,0.0012261408531785746,1.070986032676379,0.0015976699302818731,1.0717139852248674,0.0016686058079464626,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
232.57555764755293,52.0976276773427,219.11756259443035,20.133857996867828,212.93365641884952,50.454636514346326,227.8312826591572,51.54168204638876,228.0734334567947,51.03640623329197,1.067456588368276,0.0012261408531785746,1.0709860598312617,0.001597669239526354,1.071714590955639,0.0016686908597767758,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
232.99631191427784,52.23941854175162,219.38968305768702,20.15162468525102,213.3062599739303,50.59409747676693,228.25203692588198,51.683429145364045,228.4941877235195,51.17817576480224,1.067456588368276,0.0012261408531785746,1.070986092924152,0.001597669196764299,1.0717145927567369,0.001668691017236266,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
233.4170661810026,52.38121001385113,219.81893667582366,20.207288416897132,213.67886352901115,50.733563508205634,228.67279119260678,51.825177097992494,228.91494199024433,51.31994603444133,1.067456588368276,0.0012261408531785746,1.0709861369842493,0.001597665245214851,1.071714594543669,0.0016686911734603365,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
233.83782044772747,52.523002088719565,220.21286111243154,20.269876582944562,214.05146708409194,50.87303456697302,229.0935454593316,51.96692589728872,229.3356962569692,51.46171703610887,1.067456588368276,0.0012261408531785746,1.0709861729260326,0.0015976626707434065,1.0717145963166081,0.0016686913284629948,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
234.25857471445224,52.66479476148837,220.46709332783468,20.26346643487551,214.35967043464552,50.9917422076458,229.51429972605646,52.10867553634325,229.756450523694,51.60348876377156,1.067456588368276,0.0012261408531785746,1.0709862060499897,0.00159766543124414,1.0717151233942819,0.0016687655009798943,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
234.6793289811771,52.806588027341206,220.69742042099884,20.289997291535443,214.6678737851991,51.11051944147609,229.9350539927813,52.2504260083216,230.1772047904188,51.74526121146213,1.067456588368276,0.0012261408531785746,1.0709862469781237,0.0015976663975720263,1.0717155862675742,0.0016688307611747223,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
235.10008324790192,52.94838188151332,220.99690824248987,20.330630413336817,214.97607713575272,51.22936578440074,230.3558082595061,52.39217730646315,230.59795905714364,51.88703437327852,1.067456588368276,0.0012261408531785746,1.0709862625932913,0.0015976661028687966,1.0717159960247626,0.001668888626604583,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
235.52083751462675,53.090176319290855,221.16119787497573,20.32137794631705,215.28428048630627,51.34828075655775,230.77656252623086,52.533929424080256,231.0187133238685,52.028808243382954,1.067456588368276,0.0012261408531785746,1.0709862966003802,0.0015976677806769154,1.0717163613393859,0.0016689402887858035,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
235.94159178135155,53.23197133601014,221.48013437205523,20.354901462474,215.6568840413871,51.48775932075815,231.19731679295577,52.67568235455717,231.43946759059327,52.17058281600115,1.067456588368276,0.0012261408531785746,1.0709863255265746,0.001597669592948916,1.0717163630447506,0.0016689404377796893,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
236.36234604807638,53.37376692705705,221.63159017716825,20.33879458058718,215.96508739194064,51.606742605299054,231.61807105968055,52.81743609134921,231.8602218573181,52.31235808542131,1.067456588368276,0.0012261408531785746,1.0709863583403174,0.0015976720947621225,1.0717166907859592,0.0016689868441706866,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
236.78310031480123,53.51556308786634,221.81560645110875,20.350679715682453,216.27329074249423,51.72579338854824,232.03882532640537,52.95919062798166,232.2809761240429,52.4541340459934,1.067456588368276,0.0012261408531785746,1.0709863986749806,0.0015976744423242314,1.0717169864975782,0.0016690287605148745,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
237.203854581526,53.657359813921026,221.9701811712539,20.367000039773256,216.64589429757507,51.86527695024457,232.45957959313017,53.10094595804894,232.70173039076775,52.59591069212828,1.067456588368276,0.0012261408531785746,1.0709864231795814,0.0015976736493984584,1.071716988164241,0.001669028906083881,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
237.62460884825086,53.799157100751685,222.42354164261738,20.45969357319039,216.95409764812862,51.98439455207386,232.88033385985506,53.2427020752136,233.12248465749258,52.73768801829687,1.067456588368276,0.0012261408531785746,1.070986443686475,0.0015976719060417843,1.0717172563289656,0.0016690669543575334,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
238.0453631149757,53.940954943935914,222.81377257073171,20.53987860279104,217.32670120320944,52.12388271265128,233.30108812657986,53.38445897320556,233.5432389242174,52.8794660190294,1.067456588368276,0.0012261408531785746,1.0709864770979256,0.0015976756823549204,1.0717172579705547,0.001669067097724628,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
238.46611738170049,54.082753339097664,222.97481982403025,20.558469787729006,217.634904553763,52.24306630871952,233.72184239330468,53.526216645821066,233.9639931909422,53.021244688914514,1.067456588368276,0.0012261408531785746,1.0709865016626916,0.0015976751068147036,1.071717502280244,0.0016691017908635017,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
238.8868716484253,54.22455228190662,223.40732735051705,20.624247152786275,218.00750810884384,52.382558834783524,234.14259666002945,53.667975086921864,234.38474745766706,53.16302402259859,1.067456588368276,0.0012261408531785746,1.070986526804698,0.0015976797192762914,1.071717503897316,0.0016691019320794812,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
239.30762591515014,54.36635176807765,223.60482582932127,20.60431773426001,218.31571145939742,52.50180761506708,234.56335092675437,53.809734290434356,234.80550172439183,53.304804014784985,1.067456588368276,0.0012261408531785746,1.0709865508663152,0.0015976793139859105,1.071717727411944,0.0016691336961290088,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
239.728380181875,54.50815179337016,223.85845341813584,20.682718309864516,218.6883150144782,52.641304279411266,234.98410519347914,53.95149425034882,235.22625599111666,53.44658466023314,1.067456588368276,0.0012261408531785746,1.070986575666409,0.0015976809407352481,1.071717729005044,0.0016691338352446184,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
240.14913444859977,54.64995235358764,224.19029445234077,20.755862722950322,219.060918569559,52.78080562746616,235.40485946020394,54.093254960718404,235.6470102578415,53.58836595375801,1.067456588368276,0.0012261408531785746,1.070986591816045,0.0015976817634399234,1.0717177305863639,0.0016691339733267848,1.0700625065707474,0.001459783848552401,1.0709345067731035,0.0011231714592577226
