TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se
2682.2787091602354,396.7803472750573,592.8305443734148,38.26477728697246,590.889655644946,111.25093823032553,1.073064983920831,0.0012486270431237869,1.0757674076744768,0.001150539408622878,1.0763446099947316,0.0011796466955465025
2682.71646727097,396.8457416887379,592.9011508136408,38.267365137933474,590.9477573277974,111.26268023313663,1.0730649839237663,0.001248627043657208,1.0757674098128835,0.0011505393271062823,1.0763446290863854,0.001179651506633786
2683.1542253817042,396.91113610311237,592.9447852930775,38.26815765816294,591.0096732056696,111.27452323787408,1.0730649839267121,0.0012486270441900544,1.0757674105073647,0.0011505393509178,1.0763446320459917,0.0011796511254532236
2683.591983492439,396.97653051817997,593.0103014058509,38.27586799956554,591.0572490773616,111.28675936605578,1.073064983929656,0.001248627044722901,1.075767411057871,0.0011505393566244295,1.0763446322716137,0.0011796511203796334
2684.0297416031735,397.04192493394095,593.0684254217197,38.28159111326987,591.1147354581655,111.29851753995067,1.0730649839325936,0.0012486270452563221,1.0757674120188698,0.00115053934097736,1.076344651047317,0.0011796557891917854
2684.467499713908,397.1073193503946,593.1096308519673,38.283320861230486,591.1803602802744,111.31002228149451,1.0730649839355297,0.0012486270457862942,1.0757674123242895,0.0011505393391265106,1.0763446673547634,0.0011796565694870437
2684.9052578246424,397.1727137675408,593.143427191532,38.28581133179928,591.22968010375,111.32226153760679,1.0730649839384596,0.0012486270463168414,1.075767412722388,0.0011505393437895033,1.0763446675704316,0.001179656565824998
2685.343015935378,397.23810818537896,593.1554405973998,38.28624167913249,591.278121565418,111.3345220700816,1.073064983941399,0.001248627046849688,1.0757674128744221,0.0011505393452623228,1.0763446677983368,0.0011796565631029524
2685.7807740461117,397.30350260390884,593.1891873345967,38.28724575619118,591.341107858255,111.34635221792949,1.07306498394433,0.0012486270473813846,1.0757674132941863,0.0011505393362058242,1.0763446707430806,0.0011796562164764917
2686.218532156846,397.3688970231302,593.2157710172768,38.28734526573185,591.3886837299469,111.35859386702232,1.073064983947259,0.001248627047911357,1.0757674139196,0.0011505392378856054,1.0763446709666078,0.0011796562114704573
2686.6562902675814,397.4342914430426,593.2676174586159,38.2905595206784,591.4488556560357,111.37044724676763,1.0730649839502002,0.0012486270484436284,1.0757674147451601,0.0011505391867866856,1.07634467387291,0.0011796558377311101
2687.0940483783143,397.49968586364577,593.3430044398411,38.29791010661688,591.4898418888221,111.37754803343788,1.073064983953122,0.0012486270489736008,1.0757674161523918,0.0011505391949355394,1.076344682015797,0.0011796547725145478
2687.5318064890494,397.56508028493914,593.3803120581267,38.29932177528371,591.5391617122978,111.38979248108267,1.0730649839560553,0.001248627049503573,1.0757674166279183,0.0011505392207170572,1.0763446822294949,0.001179654768929157
2687.9695645997854,397.63047470692254,593.4231703446438,38.3024344889467,591.6008475243688,111.39833179142589,1.0730649839589836,0.0012486270500346951,1.0757674171028968,0.0011505392043519786,1.0763456341870965,0.001179531413229341
2688.4073227105196,397.69586912959574,593.5036000173118,38.308801204693246,591.6695103110252,111.40966893423982,1.0730649839619093,0.0012486270505646672,1.075767418717307,0.001150539217616089,1.0763456607140007,0.0011795320403122803
2688.8450808212533,397.76126355295827,593.5414614085375,38.31058005310485,591.715142551409,111.42192936014277,1.0730649839648336,0.0012486270510940647,1.0757674191302233,0.001150539234300559,1.0763456700347507,0.0011795319505531734
2689.2828389319893,397.8266579770097,593.5711799416898,38.310415733657585,591.7612247592456,111.43420949111942,1.0730649839677606,0.0012486270516240373,1.075767419665858,0.0011505392592873398,1.0763456705018266,0.0011795319444775146
2689.7205970427235,397.89205240175,593.6080273642175,38.3115875469906,591.8079222691299,111.44647831058525,1.0730649839706896,0.0012486270521545842,1.0757674200713336,0.001150539295249464,1.076345670735116,0.0011795319404712915
2690.158355153458,397.95744682717856,593.6459414111459,38.3117843520051,591.8535545095135,111.45874148456657,1.0730649839736153,0.0012486270526845566,1.075767420509452,0.001150539305745097,1.0763456798600028,0.0011795318526556578
2690.5961132641924,398.0228412532952,593.6677397038643,38.3132807133229,591.900252019398,111.47101213830034,1.0730649839765267,0.0012486270532122297,1.075767420834868,0.0011505393119301903,1.07634568009252,0.0011795318486774245
2691.0338713749265,398.0882356800994,593.6890912003262,38.31434448122509,591.9667424314831,111.4825565887934,1.073064983979452,0.001248627053742202,1.0757674210754604,0.0011505393131990235,1.0763456955160178,0.0011795325886675377
2691.471629485662,398.15363010759086,593.7048213423108,38.31551136786105,592.012401390429,111.49485382531707,1.0730649839823676,0.0012486270542704499,1.075767421333136,0.0011505393087319076,1.0763456962435596,0.001179532611368036
2691.909387596396,398.21902453576945,593.7690152305656,38.32042114364366,592.0599772621208,111.50710688172181,1.0730649839852908,0.0012486270547998474,1.0757674223580325,0.0011505392537803296,1.0763456964627458,0.0011795326065196813
2692.3471457071305,398.2844189646346,593.8043168334574,38.32146434178007,592.1066747720051,111.51938120191389,1.0730649839882054,0.0012486270553263709,1.0757674228577805,0.001150539265567253,1.076345696693978,0.0011795326025773507
2692.7849038178656,398.3498133941859,593.8290855351426,38.321527216537035,592.1529490329988,111.53166896338844,1.073064983991123,0.0012486270558551937,1.0757674234536463,0.0011505392397270977,1.0763456971868022,0.0011795326272578369
2693.2226619286002,398.41520782442336,593.8528889797468,38.32156587932195,592.1990363862993,111.54393070872992,1.0730649839940345,0.0012486270563828667,1.0757674237549741,0.0011505392388737232,1.076345706369526,0.001179532568968054
2693.6604200393344,398.4806022553463,593.8648033589736,38.32170362422098,592.2490455652235,111.55620010306882,1.0730649839969562,0.001248627056912839,1.0757674240397874,0.001150539234290578,1.0763457068417048,0.0011795325630846777
2694.098178150068,398.5459966869547,593.9550042879217,38.33130686905094,592.2966214369152,111.56845773428472,1.0730649839998616,0.0012486270574387877,1.0757674253006413,0.0011505391660661525,1.076345707059195,0.001179532558282567
2694.5359362608033,398.6113911192479,593.9836331325192,38.331826028259066,592.3450628985833,111.5807369460326,1.073064984002774,0.0012486270579664608,1.0757674256478316,0.0011505391843812673,1.076345707280045,0.0011795325557665095
2694.9736943715384,398.67678555222585,594.0117852183163,38.33404429083216,592.3926387702753,111.59299640547253,1.0730649840056845,0.0012486270584935592,1.07576742588835,0.001150539190136555,1.0763457074968994,0.001179532550987521
2695.411452482272,398.74217998588796,594.075750925431,38.33564600947763,592.4410802319434,111.605277453319,1.0730649840085984,0.001248627059021807,1.0757674286699388,0.0011505390682156494,1.076345707717123,0.0011795325484903261
2695.8492105930072,398.807574420234,594.1602956796959,38.3444518045064,592.501444211189,111.6171512108551,1.0730649840115045,0.0012486270595477556,1.075767429940356,0.0011505388965775416,1.07634571061387,0.0011795322096305493
2696.286968703742,398.8729688552636,594.1852642656487,38.34598248986702,592.5498856728569,111.62943407855538,1.07306498401441,0.0012486270600731296,1.0757674302564504,0.001150538903974704,1.0763457108334316,0.0011795322071467404
2696.7247268144765,398.93836329097667,594.2119769358262,38.34587882804921,592.597461544549,111.64169716974642,1.0730649840173172,0.001248627060599653,1.075767430612801,0.0011505389105372057,1.0763457110490358,0.0011795322024066932
2697.162484925211,399.00375772737266,594.2609068867305,38.34773989812677,592.6435437523855,111.65399370781711,1.0730649840202282,0.001248627061127901,1.075767431367689,0.0011505388215429402,1.0763457115077508,0.0011795321965409609
2697.600243035946,399.06915216445094,594.3013005193675,38.349862518297485,592.7099405060967,111.66578921691894,1.0730649840231263,0.0012486270616527,1.0757674317428483,0.0011505388100336085,1.0763457153912004,0.0011795322882033694
2698.0380011466796,399.13454660221186,594.3209270909281,38.34996130814205,592.7642579579901,111.67779421987788,1.0730649840260358,0.0012486270621792236,1.0757674321964832,0.0011505388377308617,1.0763457279561133,0.0011795306891246664
2698.4757592574156,399.1999410406544,594.338246121423,38.350565767531194,592.811833829682,111.69006093912934,1.073064984028937,0.0012486270627051722,1.0757674324724835,0.0011505388370951974,1.0763457281705038,0.0011795306844345084
2698.913517368149,399.2653354797788,594.3520200863592,38.35039401532502,592.8585313395663,111.70234889522102,1.0730649840318345,0.0012486270632293963,1.0757674327991598,0.0011505388391781057,1.0763457283967968,0.0011795306806485506
2699.3512754788844,399.3307299195842,594.3861627003204,38.35135617381946,592.9069728012345,111.7146381173852,1.0730649840347317,0.0012486270637541955,1.0757674332245513,0.001150538838854971,1.0763457286141564,0.0011795306782347134
2699.789033589618,399.39612436007076,594.4155933883775,38.35217237867476,592.9695039811547,111.72650950191965,1.0730649840376336,0.0012486270642795693,1.0757674335546772,0.001150538850205854,1.076345731211553,0.0011795303165911043
2700.2267917003537,399.46151880123756,594.4591508416223,38.3544405536453,593.016201491039,111.73880016938425,1.073064984040529,0.0012486270648043682,1.0757674341711212,0.0011505388561563969,1.0763457314369138,0.0011795303128361776
2700.664549811088,399.526913243085,594.4939447813549,38.355865872568515,593.0628990009235,111.75109174945318,1.0730649840434265,0.001248627065330317,1.075767434344521,0.0011505388593247379,1.0763457316619678,0.0011795303090873358
2701.1023079218216,399.59230768561224,594.5500822724156,38.3588151214731,593.1021455468293,111.75835980557764,1.0730649840463309,0.001248627065855691,1.0757674351241966,0.0011505388257786239,1.0763457389391986,0.0011795291957160895
2701.5400660325563,399.65770212881904,594.5859794288423,38.360090253418626,593.1497214185212,111.77063255426432,1.0730649840492201,0.0012486270663793404,1.075767435531725,0.0011505388326573988,1.076345739151462,0.0011795291910952923
2701.977824143292,399.7230965727049,594.6208178079764,38.36093884014234,593.1972972902132,111.78290621872219,1.073064984052111,0.001248627066902415,1.075767436477141,0.001150538758075057,1.0763457393633353,0.0011795291864811883
2702.415582254026,399.78849101727,594.6550275897229,38.36499312149452,593.2570459674112,111.79480872048738,1.0730649840550037,0.0012486270674260643,1.0757674367439851,0.0011505387602078704,1.076345742428983,0.0011795288538050382
2702.8533403647602,399.8538854625135,594.6864208463359,38.36774012255871,593.3057504888388,111.80709674948561,1.073064984057892,0.0012486270679485643,1.0757674370817127,0.0011505387583146008,1.0763457428611145,0.0011795288485465525
2703.2910984754953,399.91927990843516,594.7191941105418,38.37150541735691,593.3520247498325,111.81940594161136,1.073064984060789,0.001248627068473938,1.0757674374187045,0.0011505387711401762,1.0763457433416403,0.0011795288729624283
2703.728856586229,399.9846743550349,594.7847934669584,38.373425028264606,593.3987222597168,111.83170353699711,1.0730649840636786,0.0012486270689975874,1.0757674388452443,0.0011505388510280384,1.076345743564537,0.0011795288692811232
2704.166614696964,400.05006880231224,594.8245961466666,38.37405243841984,593.4443545001005,111.84399534560913,1.0730649840665603,0.0012486270695189377,1.0757674395922197,0.0011505387520621326,1.0763457523080528,0.0011795287854215993
2704.604372807699,400.1154632502668,594.8593681773849,38.37591754288956,593.491052009985,111.85629475632192,1.0730649840694473,0.0012486270700420123,1.0757674400885466,0.0011505387512892294,1.0763457525303617,0.0011795287817536805
2705.0421309184335,400.18085769889814,594.8937120407064,38.37554170505984,593.5373262709786,111.86860757964259,1.0730649840723339,0.0012486270705656618,1.075767441592251,0.0011505387363008974,1.0763457530086904,0.0011795288061111433
2705.4798890291686,400.24625214820617,594.9574436470272,38.37961427800879,593.5857677326467,111.88090916330334,1.0730649840752182,0.0012486270710864373,1.0757674435455324,0.0011505387521513377,1.0763457532216878,0.0011795288038232577
2705.917647139903,400.3116465981905,594.9974116569732,38.379745904917655,593.6318499404831,111.89322346751185,1.0730649840781055,0.0012486270716112362,1.0757674444231633,0.001150538709803856,1.0763457536717733,0.0011795287981698683
2706.3554052506374,400.37704104885086,595.0628120717865,38.38450771861185,593.6802914021513,111.90552687206454,1.0730649840809856,0.0012486270721320115,1.075767445230092,0.0011505387001385118,1.0763457538842187,0.001179528795897803
2706.7931633613716,400.44243550018666,595.0860443920013,38.38538953998074,593.7287328638193,111.91783119753774,1.0730649840838644,0.0012486270726533618,1.0757674455967297,0.0011505386993762134,1.0763457540962482,0.0011795287936312141
2707.2309214721063,400.50782995219777,595.1244275366294,38.38861679860084,593.7756934334636,111.9301278849604,1.0730649840867477,0.0012486270731764365,1.0757674463759392,0.0011505386878200947,1.0763457545325446,0.0011795287871271692
2707.6686795828414,400.5732244048838,595.1322829276128,38.38875649136611,593.8226540031078,111.9424254834277,1.0730649840896314,0.0012486270736977866,1.0757674465046332,0.0011505386876672606,1.0763457549677033,0.0011795287806359023
2708.106437693575,400.6386188582443,595.1572627933936,38.389091573282684,593.8710954647757,111.95473252295554,1.0730649840925137,0.001248627074219137,1.0757674467226748,0.0011505386893153724,1.0763457551789317,0.0011795287783960865
2708.5441958043098,400.70401331227936,595.1985267971145,38.388962245493865,593.9173697257692,111.967052565317,1.0730649840953823,0.0012486270747399122,1.0757674471481262,0.0011505386966071116,1.0763457556539855,0.0011795288027292104
2708.981953915045,400.76940776698814,595.2171920370239,38.38902427324333,593.9660742471971,111.97935327762097,1.073064984098256,0.0012486270752601128,1.075767447454498,0.0011505386903640003,1.076345756078936,0.0011795287976191936
2709.4197120257786,400.83480222237057,595.2535748628414,38.389904028076714,594.0127717570816,111.99166262644265,1.0730649841011313,0.0012486270757808883,1.075767448206683,0.0011505386656916086,1.0763457562978578,0.0011795287940601928
2709.8574701365137,400.90019667842625,595.2980366921358,38.393116916400096,594.0590460180752,112.00398537485127,1.0730649841040125,0.001248627076303963,1.0757674487798277,0.0011505386480502023,1.0763457567711177,0.0011795288183227327
2710.2952282472484,400.96559113515497,595.3220677687054,38.39297226530662,594.1119044719815,112.01604532536835,1.0730649841068765,0.0012486270768218644,1.0757674491021831,0.0011505386443116962,1.0763457590193846,0.0011795286676904064
2710.7329863579826,401.0309855925562,595.372225963472,38.39619333045347,594.1641932024944,112.02821738408234,1.0730649841097513,0.0012486270773432145,1.075767449884888,0.0011505386282815967,1.076345759627137,0.0011795286481040344
2711.1707444687177,401.0963800506299,595.3896803233913,38.39622816434189,594.2294708486615,112.03979625656078,1.0730649841126203,0.0012486270778611158,1.0757674502214716,0.0011505386306576968,1.0763457785477484,0.0011795305824582511
2711.608502579452,401.1617745093755,595.4706803726722,38.40405946341445,594.2770467203535,112.05208975339507,1.0730649841154927,0.001248627078382466,1.0757674513432547,0.0011505385592212266,1.076345778753141,0.0011795305780625967
2712.046260690186,401.22716896879285,595.5097389088227,38.40571527746413,594.3254881820214,112.0644048755893,1.0730649841183586,0.0012486270789020919,1.0757674521117517,0.0011505385738589788,1.0763457789617419,0.0011795305758994527
2712.484018800921,401.2925634288813,595.5579103832654,38.40937287316347,594.3721856919059,112.07672049244249,1.0730649841212305,0.0012486270794211428,1.0757674530441366,0.0011505385607533092,1.0763457791786422,0.0011795305724031308
2712.9217769116553,401.3579578896409,595.6120164051823,38.4151937773202,594.420627153574,112.08903742866843,1.073064984124096,0.0012486270799401938,1.075767453627463,0.0011505385602037308,1.0763457793866644,0.0011795305702570244
2713.3595350223914,401.42335235107083,595.6358792458475,38.415375334361585,594.4822927435182,112.10091882048967,1.0730649841269606,0.0012486270804598196,1.075767454013449,0.0011505385535663694,1.0763457819175906,0.0011795302147900573
2713.7972931331255,401.4887468131714,595.6833745918041,38.42033650851859,594.5289902534023,112.11323712712726,1.0730649841298316,0.0012486270809794454,1.0757674547463667,0.0011505385564677198,1.0763457821336297,0.0011795302113272006
2714.2350512438597,401.5541412759419,595.7124323213421,38.42078346237334,594.575687763287,112.12555633725522,1.073064984132686,0.0012486270814967718,1.0757674551101568,0.0011505385691903684,1.0763457823493554,0.0011795302078619098
2714.672809354595,401.6195357393821,595.7474470626029,38.421907373744,594.6232636349787,112.13785613339874,1.0730649841355493,0.0012486270820146732,1.0757674554694103,0.0011505385816391637,1.0763457825528127,0.0011795302035307528
2715.110567465327,401.6849302034918,595.7995254016731,38.424680513760094,594.669961144863,112.15017714815208,1.073064984138409,0.0012486270825337242,1.075767456146651,0.0011505385521253634,1.076345782767961,0.0011795302000873673
2715.548325576063,401.75032466827025,595.8497988441982,38.42774889902732,594.7175370165551,112.1624787522772,1.073064984141274,0.0012486270830522003,1.0757674571370826,0.0011505384814923583,1.07634578297084,0.0011795301957671631
2715.9860836867983,401.8157191337174,595.8989965306578,38.43141413974977,594.765978478223,112.17480195829988,1.0730649841441267,0.001248627083568952,1.075767458203318,0.0011505384786284366,1.0763457831769108,0.0011795301936849462
2716.4238417975325,401.88111359983293,595.9321847540889,38.43528466966407,594.8205768968961,112.18650721397358,1.0730649841469906,0.0012486270840868533,1.0757674584649732,0.0011505384846182813,1.076345816204289,0.001179533543699942
2716.861599908267,401.9465080666167,595.9832801652292,38.43746932935123,594.8698967203717,112.19881192112294,1.073064984149843,0.0012486270846024557,1.0757674594239273,0.001150538499040819,1.0763458163978137,0.0011795335407506504
2717.2993580190023,402.011902534068,596.0220191239118,38.440129885412674,594.9367167229736,112.21063698822084,1.0730649841527053,0.001248627085122656,1.0757674597726186,0.0011505385030824982,1.0763458199641556,0.0011795336036447362
2717.7371161297365,402.07729700218664,596.0719783017735,38.44019647051854,594.9854212444013,112.22295561223197,1.0730649841555548,0.0012486270856382582,1.0757674606417915,0.0011505384388391987,1.0763458203827039,0.001179533598720326
2718.1748742404707,402.14269147097247,596.1121850659653,38.44589604696997,595.0441040961992,112.23511951000792,1.0730649841584075,0.0012486270861544353,1.0757674610640988,0.0011505384479799192,1.0763458212108825,0.0011795335721055092
2718.612632351206,402.20808594042495,596.1459835214466,38.44803387829275,595.1119602022306,112.24708938216301,1.0730649841612587,0.001248627086671187,1.0757674616169108,0.00115053843204526,1.0763458236869718,0.0011795334693439567
2719.05039046194,402.2734804105439,596.1648133374797,38.44763235761128,595.1604016638988,112.25941878259907,1.07306498416411,0.0012486270871885136,1.0757674620052413,0.0011505384719661224,1.0763458238910892,0.0011795334673140748
2719.4881485726755,402.33887488132893,596.2292214058036,38.45168447894466,595.210946442628,112.27160830546326,1.0730649841669648,0.0012486270877046905,1.0757674631517913,0.0011505384101244982,1.0763458244999027,0.0011795334466252207
2719.9259066834084,402.4042693527798,596.262352900401,38.451510975651914,595.259387904296,112.2839395091626,1.073064984169811,0.0012486270882202926,1.075767464090713,0.001150538353063768,1.0763458247035271,0.001179533444609334
